2020-04-24 15:11:21 362  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.novellatonyatt.MybatisPlusBaseMapperTest], using SpringBootContextLoader 
2020-04-24 15:11:21 373  [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.novellatonyatt.MybatisPlusBaseMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-04-24 15:11:21 374  [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.novellatonyatt.MybatisPlusBaseMapperTest]: MybatisPlusBaseMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-04-24 15:11:21 535  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.novellatonyatt.WebApplication for test class com.novellatonyatt.MybatisPlusBaseMapperTest 
2020-04-24 15:11:21 655  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2020-04-24 15:11:21 676  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1ba9117e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@732c2a62, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@272ed83b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41fecb8b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@120f102b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@625732, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@51dcb805, org.springframework.test.context.event.EventPublishingTestExecutionListener@66498326, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cad498c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e6454ec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2accdbb5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b62d79, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6631f5ca] 
2020-04-24 15:11:22 1342 [main] INFO  c.n.MybatisPlusBaseMapperTest - Starting MybatisPlusBaseMapperTest on ZHUANGdeMacBook-Pro.local with PID 68162 (started by zhuanghaotang in /Users/zhuanghaotang/project/springboot-demo) 
2020-04-24 15:11:22 1343 [main] INFO  c.n.MybatisPlusBaseMapperTest - No active profile set, falling back to default profiles: default 
2020-04-24 15:11:23 2191 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.novellatonyatt]' package. Please check your configuration. 
2020-04-24 15:11:23 2530 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.novellatonyatt.config.ShiroConfig$$EnhancerBySpringCGLIB$$e720e5b1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 2877 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 2884 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfig' of type [com.novellatonyatt.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$66cc9c0d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 2893 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 2902 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$445d63a8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 2907 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceConfig' of type [com.novellatonyatt.config.DataSourceConfig$$EnhancerBySpringCGLIB$$d5012fef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3119 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'druid' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3170 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3180 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3363 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3366 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [com.sun.proxy.$Proxy93] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3403 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleRepository' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3405 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleRepository' of type [com.sun.proxy.$Proxy95] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3435 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuRepository' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3437 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuRepository' of type [com.sun.proxy.$Proxy96] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3437 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myRealm' of type [com.novellatonyatt.config.ShiroConfig$MyRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3449 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:24 3513 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-24 15:11:25 4211 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2020-04-24 15:11:25 4499 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-04-24 15:11:25 4822 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2020-04-24 15:11:26 4842 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2020-04-24 15:11:26 4878 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2020-04-24 15:11:26 5117 [main] INFO  c.n.MybatisPlusBaseMapperTest - Started MybatisPlusBaseMapperTest in 4.369 seconds (JVM running for 5.427) 
2020-04-24 15:11:26 5383 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-04-24 15:11:26 5387 [SpringContextShutdownHook] INFO  c.a.druid.pool.DruidDataSource - {dataSource-0} closing ... 
